x1,y1,z1,x2,y2,z2,vx,vy,vz,ux,uy,uz,dux,duy,duz,speed
-0.215,-9.52,54.442,-1.414,-9.694,54.349,-1.1989999999999998,-0.17400000000000126,-0.09300000000000352,-0.986730684415387,-0.1431952786390981,-0.07653540754848581,-0.04678352938607011,0.11141460612138654,0.05159892402529262,1.2151238619992617
2.053,-9.331,53.762,0.935,-9.537,53.649,-1.1179999999999999,-0.2060000000000013,-0.11299999999999955,-0.978622245424031,-0.18031858904950954,-0.09891262409026393,-0.03867509039471406,0.07429129571097509,0.029221707483514506,1.1424224262504654
1.318,-9.225,53.83,0.192,-9.426,53.755,-1.1260000000000001,-0.2010000000000005,-0.07499999999999574,-0.9823288604899446,-0.17535355324909355,-0.06543043031682207,-0.042381705460627694,0.07925633151139108,0.06270390125695637,1.1462556433885067
-1.743,-9.071,54.449,-2.924,-9.262,54.402,-1.1809999999999998,-0.19100000000000072,-0.046999999999997044,-0.9864122832270358,-0.15952984428142641,-0.039256034980243666,-0.046465128197718863,0.09508004047905821,0.08887829659353477,1.1972681403929528
-0.525,-9.145,54.701,-1.665,-9.354,54.629,-1.1400000000000001,-0.20899999999999963,-0.07200000000000273,-0.9817140624053641,-0.17998091144098308,-0.062002993415077964,-0.04176690737604716,0.07462897331950155,0.06613133815870047,1.161234257159166
-1.965,-9.162,55.543,-3.161,-9.296,55.567,-1.196,-0.13399999999999856,0.02400000000000091,-0.9935844357686985,-0.11132133310451854,0.01993814921275056,-0.053637280739381565,0.1432885516559661,0.148072480786529,1.2037225593964747
-1.437,-9.16,55.962,-2.573,-9.352,55.855,-1.136,-0.19200000000000017,-0.10700000000000642,-0.981790939276583,-0.16593649677914094,-0.0924750268508809,-0.04184378424726609,0.0886733879813437,0.035659304722897536,1.157069142272838
-0.627,-8.907,54.23,-1.767,-9.096,54.133,-1.14,-0.18900000000000006,-0.0969999999999942,-0.983076476971167,-0.16298373170837774,-0.08364773532122588,-0.04312932194185004,0.09162615305210689,0.04448659625255255,1.1596249393661724
1.251,-9.216,55.303,0.161,-9.404,55.247,-1.0899999999999999,-0.1880000000000006,-0.055999999999997385,-0.9841891171406193,-0.16975004956186887,-0.05056384455034139,-0.04424196211130238,0.08485983519861576,0.07757048702343705,1.1075107222957257
1.064,-8.845,54.574,-0.053,-9.109,54.538,-1.117,-0.26399999999999935,-0.036000000000001364,-0.9727098164353677,-0.22989739618526092,-0.03134964493435503,-0.032762661406050775,0.024712488575223707,0.09678468663942341,1.1483383647688516
0.005,-8.563,53.651,-1.135,-8.799,53.55,-1.14,-0.23599999999999888,-0.1010000000000062,-0.975572334894173,-0.20196058862721383,-0.08643228581080485,-0.03562517986485614,0.052649296133270795,0.04170204576297358,1.1685448215622714
0.851,-8.367,53.337,-0.31,-8.583,53.305,-1.161,-0.2159999999999993,-0.03200000000000358,-0.982769305293236,-0.1828408009847875,-0.02708752607182349,-0.04282215026391911,0.07176908377569713,0.10104680550195494,1.1813555772924593
0.354,-8.349,52.665,-0.81,-8.595,52.634,-1.1640000000000001,-0.24600000000000044,-0.030999999999998806,-0.9780569886694367,-0.20670276564663387,-0.026047909492054436,-0.03810983364011977,0.04790711911385076,0.102086422081724,1.19011470035455
1.189,-8.231,52.283,0.016,-8.482,52.241,-1.173,-0.25099999999999945,-0.04200000000000159,-0.9772645347602336,-0.20911628152158404,-0.03499156901954933,-0.037317379730916644,0.04549360323890059,0.0931427625542291,1.2002891318344926
0.012,-8.482,54.28,-1.165,-8.654,54.18,-1.177,-0.1720000000000006,-0.10000000000000142,-0.9860121998978622,-0.14409014306069062,-0.08377333898877452,-0.046065044868545235,0.110519741699794,0.04436099258500391,1.1936971977851
-2.258,-8.512,55.028,-3.453,-8.684,55.002,-1.1949999999999998,-0.17199999999999882,-0.02599999999999625,-0.989570410828192,-0.1424318917677388,-0.02153040224395756,-0.049623255798875054,0.11217799299274583,0.10660392932982088,1.2075947167820829
-2.24,-8.564,56.056,-3.449,-8.715,56.042,-1.2089999999999996,-0.1509999999999998,-0.013999999999995794,-0.992224997687576,-0.12392553734559456,-0.011489784919455662,-0.05227784265825908,0.13068434741489007,0.11664454665432276,1.2184736353323362
-0.406,-8.338,54.099,-1.588,-8.539,54.058,-1.182,-0.2010000000000005,-0.04099999999999682,-0.985271671380377,-0.1675461979250899,-0.03417609012402058,-0.04532451635106005,0.08706368683539473,0.09395824144975785,1.1996691210496333
2.804,-8.221,53.04,1.685,-8.409,52.924,-1.1189999999999998,-0.1880000000000006,-0.11599999999999966,-0.9810653737387445,-0.16482599666030795,-0.10170114687550853,-0.041118218709427556,0.08978388810017668,0.0264331846982699,1.1405967736233518
-2.288,-8.593,56.79,-3.467,-8.751,56.72,-1.1790000000000003,-0.15799999999999947,-0.07000000000000028,-0.9894279190460473,-0.13259509008420264,-0.058744660163887685,-0.049480764016730405,0.12201479467628198,0.06938967140989075,1.191597667000066
-1.748,-8.267,54.504,-2.917,-8.437,54.459,-1.1689999999999998,-0.16999999999999993,-0.0449999999999946,-0.9888735899409864,-0.14380539802392442,-0.038066134771034266,-0.04892643491166948,0.11080448673656021,0.09006819680274417,1.1821531203697764
0.734,-8.255,54.301,-0.412,-8.416,54.247,-1.146,-0.1609999999999996,-0.054000000000002046,-0.989198853647452,-0.13897121765902212,-0.04661146430799689,-0.049251698618135054,0.1156386671014625,0.08152286726578153,1.1585132713957143
0.059,-8.08,53.101,-1.162,-8.3,53.037,-1.2209999999999999,-0.22000000000000064,-0.06400000000000006,-0.98284555958054,-0.17708929001451226,-0.05151688436785801,-0.04289840455122307,0.07752059474597237,0.07661744720592042,1.2423111526505748
-0.329,-8.255,55.154,-1.446,-8.48,55.154,-1.117,-0.22499999999999964,0.0,-0.98030970695173,-0.19746614508875462,0.0,-0.040362551922413115,0.057143739671730004,0.12813433157377843,1.1394358253100523
-0.677,-7.987,54.33,-1.801,-8.181,54.238,-1.1239999999999999,-0.19399999999999906,-0.09199999999999875,-0.9822398273011936,-0.16953249688294544,-0.08039685419191156,-0.04229267227187672,0.08507738787753918,0.04773747738186687,1.1443233808674884
-1.761,-8.225,55.503,-2.94,-8.411,55.462,-1.179,-0.18599999999999994,-0.04099999999999682,-0.9872010840641574,-0.15574164684981615,-0.034330147961515955,-0.04725392903484049,0.09886823791066848,0.09380418361226248,1.1942855604921294
-1.703,-8.462,57.338,-2.864,-8.616,57.261,-1.1609999999999998,-0.15399999999999991,-0.07699999999999818,-0.9891815606521691,-0.1312092681657485,-0.06560463408287273,-0.049234405622852195,0.12340061659473614,0.0625296974909057,1.1736975760390747
-0.439,-7.939,53.345,-1.59,-8.139,53.325,-1.151,-0.1999999999999993,-0.01999999999999602,-0.9850925276394444,-0.17117159472449017,-0.017117159472445673,-0.04514537261012752,0.08343829003599446,0.11101717210133276,1.1684181614473474
-1.243,-7.969,54.25,-2.413,-8.166,54.211,-1.1699999999999997,-0.19700000000000006,-0.03900000000000148,-0.9855868985517753,-0.16594924702111097,-0.032852896618393766,-0.045639743522458365,0.08866063773937366,0.09528143495538466,1.187109935936853
