rank,C_n,C_n_smooth
1,0.8993403256853871,0.8930575881954468
2,0.8868144514754192,0.8903254695732208
3,0.8804525124456533,0.8859788962312396
4,0.8856797325742569,0.8823716753559724
5,0.8776074589754811,0.8801033399983615
6,0.8813042213090512,0.8806559275296029
7,0.8754727746873652,0.8801384380025964
8,0.8832154501018594,0.8806918201372551
9,0.8830922849392245,0.8769277579514225
10,0.8803743696487746,0.8766917337762226
11,0.8624839103798884,0.8729529444373825
12,0.874292653811366,0.8667261583301223
13,0.8645215034076584,0.862154349659131
14,0.8519583544029239,0.8640330346027296
15,0.857515326293818,0.857429557825724
16,0.8718773350978816,0.8587212109941705
17,0.8412752699263382,0.8581654012470172
18,0.8709797692498912,0.8544154981106777
19,0.8491793056671569,0.8501626702910396
20,0.8387658106121206,0.8471649878528837
21,0.8506131959996912,0.8416415110041227
22,0.8262868577355583,0.8372950995300894
23,0.8433623850060857,0.8392746484954523
24,0.8274472482969906,0.8371827625745758
25,0.8486635554389357,0.839877032421705
26,0.8401537663953083,0.8385555053090517
27,0.8397582069712043,0.8354859865672883
28,0.8367547494428192,0.8325904680979099
29,0.8120996545881742,0.8277791737699343
30,0.8341859630920433,0.8234737399062196
31,0.8160972947554304,0.8181838631710772
32,0.8182310376526308,0.8204154709070339
33,0.8103053657671063,0.8201874182457901
34,0.8232576932679586,0.8233236582581811
35,0.8330456997858242,0.8236993317055336
36,0.8317784948173853,0.824324074185657
37,0.8201094048893929,0.8215881083249007
38,0.8134290781677236,0.8184295899278923
39,0.8095778639641777,0.8161999394274544
40,0.8172531078007814,0.8157630490661736
41,0.8206302423151964,0.809249275479373
42,0.8179249530829876,0.8040409010898311
43,0.7808602102337215,0.7950643803571331
44,0.783535992016468,0.7911997794320693
45,0.7723705041372921,0.7876069683942669
46,0.8013072376898763,0.7887071422002991
47,0.7999608978939766,0.7898304468627323
48,0.7863610792638827,0.789441894597729
49,0.789152515328634,0.7868610716223028
50,0.7704277428122753,0.7856113967385376
51,0.7884031228127449,0.7881049020031147
52,0.7937125234751508,0.7901262656465969
53,0.798828605586768,0.7949741687638645
54,0.7992593335460452,0.7948678226500865
55,0.7946672583986136,0.7859490935526762
56,0.7878713922438543,0.7773117753665644
57,0.7491188779880993,0.7713879806007041
58,0.755642014656209,0.7660156064286736
59,0.7696403597167439,0.762738450361674
60,0.7678053875384613,0.7658567245270262
61,0.7714856119088558,0.7686739982589783
62,0.764710248814861,0.7663518364300532
63,0.7697283833159693,0.7648070247982744
64,0.7580295505721182,0.7623390281045144
65,0.7600813293795675,0.760212682458085
66,0.7591456284400553,0.7512422523591299
67,0.7540785205827144,0.7519958280986766
68,0.724876232821194,0.7481275879155099
69,0.7617974292698513,0.7466173822353692
70,0.7407401284637344,0.7461456034379923
71,0.7515946000393516,0.7449523420362196
72,0.7517196265958302,0.7409399469484017
73,0.7189099258123296,0.7391177499125609
74,0.7417354538307627,0.7370495083680061
75,0.7316291432845293,0.7303464234801023
76,0.7412533923165782,0.7314663964681424
77,0.7182042021563112,0.7323417032819126
78,0.7245097907525306,0.7342422375004165
79,0.7461119878996133,0.7295061463327395
80,0.7411318143770498,0.732333297698139
81,0.7175729364781925,0.7301145528475852
82,0.7323399589833086,0.7286399896018771
83,0.7134160664997615,0.7254232556502809
84,0.7387391716710734,0.7277349449418826
85,0.7250481446190683,0.725944999363684
86,0.7291313829362013,0.7269458170910545
87,0.7233902310923149,0.7239380758845871
88,0.7184201551366145,0.7217776898874144
89,0.7237004656387365,0.7194243727026972
90,0.7142462146332043,0.715104731064034
91,0.7173647970126165,0.7096479826921942
92,0.7017920228989983,0.7049483989646234
93,0.6911364132774147,0.7083641422507203
94,0.7002025470008828,0.7026635038792669
95,0.731324931063689,0.7018618224552206
96,0.6888616051553492,0.7042414361424615
97,0.6977836157787671,0.7035897068747782
98,0.703034481713619,0.6986944899025922
99,0.6969439006624659,0.7022919381120742
100,0.7068488462027595,0.7041049841968726
