D,J_mean,chi_mean,sdot_mean,phi_mean_mean,mean_degree_mean,model,match_method,N,k,k_label,matched_R
0.005,13.39492879807949,0.43747376650571823,2.0522163808345795,0.9321198910474777,5.0,topological,count,1024,5,k=5,0.8024114967626073
0.006667,4.3652796894311905,0.7670930251479149,2.0708946883678436,0.9014838561415672,5.0,topological,count,1024,5,k=5,0.8024114967626073
0.008333,5.418586499989033,0.7638312298804522,2.0829891562461853,0.8918080031871796,5.0,topological,count,1024,5,k=5,0.8024114967626073
0.01,3.5560742765665054,1.7382096517831087,2.1023252606391907,0.8653601706027985,5.0,topological,count,1024,5,k=5,0.8024114967626073
0.011667,2.37418957054615,1.1439564600586891,2.127395272254944,0.8229063749313354,5.0,topological,count,1024,5,k=5,0.8024114967626073
0.013333,2.157708965241909,1.2948528453707695,2.138214498758316,0.8277860581874847,5.0,topological,count,1024,5,k=5,0.8024114967626073
0.015,1.9444042071700096,2.222542904317379,2.1627847254276276,0.7867925763130188,5.0,topological,count,1024,5,k=5,0.8024114967626073
0.016667,1.4382170960307121,2.681190513074398,2.18105548620224,0.7758194953203201,5.0,topological,count,1024,5,k=5,0.8024114967626073
0.018333,1.0397215895354748,3.311156138777733,2.200420379638672,0.7589557990431786,5.0,topological,count,1024,5,k=5,0.8024114967626073
0.02,1.1477053090929985,3.4965226501226425,2.224919706583023,0.7254841029644012,5.0,topological,count,1024,5,k=5,0.8024114967626073
0.021667,1.1312694177031517,3.864175148308277,2.2507534325122833,0.6889781355857849,5.0,topological,count,1024,5,k=5,0.8024114967626073
0.023333,0.8117746114730835,4.641315162181854,2.272768348455429,0.6565278172492981,5.0,topological,count,1024,5,k=5,0.8024114967626073
0.025,0.6879848055541515,4.185001507401466,2.2835753560066223,0.6658711954951286,5.0,topological,count,1024,5,k=5,0.8024114967626073
0.03,0.6665313355624676,3.744309902191162,2.3604105710983276,0.5877631045877934,5.0,topological,count,1024,5,k=5,0.8024114967626073
0.04,0.45748182386159897,6.54929855465889,2.5207247734069824,0.4853188991546631,5.0,topological,count,1024,5,k=5,0.8024114967626073
0.05,0.19851688668131828,14.809000968933105,2.7061378955841064,0.32041459530591965,5.0,topological,count,1024,5,k=5,0.8024114967626073
0.055,0.44671857729554176,7.378206104040146,2.7996097207069397,0.28924949653446674,5.0,topological,count,1024,5,k=5,0.8024114967626073
0.0575,0.47999574057757854,6.867295622825623,2.8524815440177917,0.25303839333355427,5.0,topological,count,1024,5,k=5,0.8024114967626073
0.06,0.5476774051785469,5.966256856918335,2.8929107189178467,0.25182770006358624,5.0,topological,count,1024,5,k=5,0.8024114967626073
0.0625,0.4715610146522522,6.939237892627716,2.942414164543152,0.2134970985352993,5.0,topological,count,1024,5,k=5,0.8024114967626073
0.065,0.6765316650271416,4.875751793384552,2.9831659495830536,0.21410137973725796,5.0,topological,count,1024,5,k=5,0.8024114967626073
0.0675,0.5130015127360821,6.200588643550873,3.0305435359477997,0.19803828746080399,5.0,topological,count,1024,5,k=5,0.8024114967626073
0.07,0.5738847330212593,6.009142279624939,3.0635529160499573,0.19708165526390076,5.0,topological,count,1024,5,k=5,0.8024114967626073
