D,J_mean,chi_mean,sdot_mean,phi_mean_mean,mean_degree_mean,model,match_method,N,k,k_label,matched_R
0.005,3.614952228963375,1.2254194300621748,2.081389456987381,0.857937216758728,4.0,topological,count,1024,4,k=4,0.620416470460007
0.00625,3.0491009056568146,0.8832116797566414,2.0971943140029907,0.8278800919651985,4.0,topological,count,1024,4,k=4,0.620416470460007
0.0075,1.2035397104918957,2.3774092495441437,2.1263158321380615,0.7687376737594604,4.0,topological,count,1024,4,k=4,0.620416470460007
0.00875,1.1571404710412025,2.2119228467345238,2.145177483558655,0.7494221106171608,4.0,topological,count,1024,4,k=4,0.620416470460007
0.01,1.173178181052208,2.1970704197883606,2.154074728488922,0.7230794578790665,4.0,topological,count,1024,4,k=4,0.620416470460007
0.01125,1.3564223609864712,3.451545625925064,2.174767702817917,0.6941067203879356,4.0,topological,count,1024,4,k=4,0.620416470460007
0.0125,0.7361371293663979,3.6103356033563614,2.1803879141807556,0.679690420627594,4.0,topological,count,1024,4,k=4,0.620416470460007
0.01375,0.9000548701733351,4.578907161951065,2.202126145362854,0.6348493322730064,4.0,topological,count,1024,4,k=4,0.620416470460007
0.015,0.7012654021382332,8.34028708934784,2.2217102646827698,0.6101465597748756,4.0,topological,count,1024,4,k=4,0.620416470460007
0.01625,0.5857459250837564,5.804537415504456,2.2298713326454163,0.6111691258847713,4.0,topological,count,1024,4,k=4,0.620416470460007
0.0175,0.5349808800965548,6.337505102157593,2.262338399887085,0.5422922559082508,4.0,topological,count,1024,4,k=4,0.620416470460007
0.01875,0.5614650063216686,6.020911127328873,2.293187916278839,0.45117467269301414,4.0,topological,count,1024,4,k=4,0.620416470460007
0.02,0.5097011011093855,7.854571521282196,2.293616235256195,0.48872075602412224,4.0,topological,count,1024,4,k=4,0.620416470460007
0.03,0.4168451838195324,8.647704303264618,2.424257516860962,0.3577624261379242,4.0,topological,count,1024,4,k=4,0.620416470460007
0.035,0.4214126355946064,7.785631239414215,2.5137247145175934,0.24549347907304764,4.0,topological,count,1024,4,k=4,0.620416470460007
0.0375,0.34089320339262486,7.806409478187561,2.538100451231003,0.2595447823405266,4.0,topological,count,1024,4,k=4,0.620416470460007
0.04,0.6298986673355103,5.955836772918701,2.5812778770923615,0.24012536369264126,4.0,topological,count,1024,4,k=4,0.620416470460007
0.0425,0.5003905482590199,5.6091093719005585,2.6205796897411346,0.2160062100738287,4.0,topological,count,1024,4,k=4,0.620416470460007
0.045,0.44572960399091244,8.184536933898926,2.6593017578125,0.21025064028799534,4.0,topological,count,1024,4,k=4,0.620416470460007
0.0475,0.48598513938486576,6.616952061653137,2.7005175948143005,0.20433121919631958,4.0,topological,count,1024,4,k=4,0.620416470460007
0.05,0.6048957146704197,5.306321233510971,2.736484795808792,0.18951046094298363,4.0,topological,count,1024,4,k=4,0.620416470460007
0.0525,0.5920607335865498,4.934175729751587,2.785551220178604,0.19605940394103527,4.0,topological,count,1024,4,k=4,0.620416470460007
0.055,0.6539106592535973,4.946954116225243,2.8214096426963806,0.18264980055391788,4.0,topological,count,1024,4,k=4,0.620416470460007
0.0575,0.7485671304166317,3.9775688648223877,2.8703769743442535,0.1641807109117508,4.0,topological,count,1024,4,k=4,0.620416470460007
