D,J_mean,chi_mean,sdot_mean,phi_mean_mean,mean_degree_mean,model,match_method,N,k,k_label,matched_R
0.005,420.013943195343,0.010982155537931249,2.0381636917591095,0.9779408946633339,7.0,topological,count,1024,7,k=7,1.0167454784646184
0.01,47.18658149242401,0.06516440841369331,2.0791550278663635,0.949834369122982,7.0,topological,count,1024,7,k=7,1.0167454784646184
0.02,7.828627824783325,0.4319577282294631,2.169321209192276,0.887678824365139,7.0,topological,count,1024,7,k=7,1.0167454784646184
0.03,2.5227488577365875,1.099443070590496,2.28734490275383,0.8105849251151085,7.0,topological,count,1024,7,k=7,1.0167454784646184
0.04,2.481574773788452,1.267620138823986,2.4159815311431885,0.755378358066082,7.0,topological,count,1024,7,k=7,1.0167454784646184
0.05,1.2301958501338959,2.8398814648389816,2.578438013792038,0.6704595685005188,7.0,topological,count,1024,7,k=7,1.0167454784646184
0.06,0.8944771885871887,4.055951535701752,2.7618998289108276,0.5882464200258255,7.0,topological,count,1024,7,k=7,1.0167454784646184
0.07,0.42067540623247623,8.134031891822815,2.9745115637779236,0.4354058876633644,7.0,topological,count,1024,7,k=7,1.0167454784646184
0.075,0.5280378758907318,8.13236665725708,3.0658750534057617,0.39366622641682625,7.0,topological,count,1024,7,k=7,1.0167454784646184
0.0775,0.3742169663310051,9.177755057811737,3.126814156770706,0.3417671285569668,7.0,topological,count,1024,7,k=7,1.0167454784646184
0.08,0.518497284501791,6.808002859354019,3.1786018908023834,0.3093281388282776,7.0,topological,count,1024,7,k=7,1.0167454784646184
0.0825,0.4138629473745823,8.021579682826996,3.226900488138199,0.2687074299901724,7.0,topological,count,1024,7,k=7,1.0167454784646184
0.085,0.5039726626127958,7.594257891178131,3.260276734828949,0.24462043680250645,7.0,topological,count,1024,7,k=7,1.0167454784646184
0.0875,0.5714006461203098,6.364585757255554,3.2952758371829987,0.21533469669520855,7.0,topological,count,1024,7,k=7,1.0167454784646184
0.09,0.687177512794733,4.957632660865784,3.32405686378479,0.20830246433615685,7.0,topological,count,1024,7,k=7,1.0167454784646184
0.0925,0.7109901830554008,4.779646217823029,3.348256140947342,0.18671719171106815,7.0,topological,count,1024,7,k=7,1.0167454784646184
0.095,0.8840130418539047,4.120280563831329,3.360912501811981,0.17187359929084778,7.0,topological,count,1024,7,k=7,1.0167454784646184
0.0975,1.0168434455990791,3.425804376602173,3.3667802214622498,0.15464577078819275,7.0,topological,count,1024,7,k=7,1.0167454784646184
0.1,1.25289486348629,2.8059686422348022,3.354896754026413,0.14170613326132298,7.0,topological,count,1024,7,k=7,1.0167454784646184
0.1025,1.326093778014183,2.5835257470607758,3.351790338754654,0.1303663356229663,7.0,topological,count,1024,7,k=7,1.0167454784646184
0.105,1.4374136924743652,2.405794844031334,3.332623451948166,0.12164148595184088,7.0,topological,count,1024,7,k=7,1.0167454784646184
0.12,2.6149500608444214,1.2868690565228462,3.1911255717277527,0.0868713278323412,7.0,topological,count,1024,7,k=7,1.0167454784646184
0.14,4.104178935289383,0.7231507524847984,2.920950710773468,0.06551651889458299,7.0,topological,count,1024,7,k=7,1.0167454784646184
0.16,4.946220874786377,0.542852807790041,2.6603642404079437,0.05534900864586234,7.0,topological,count,1024,7,k=7,1.0167454784646184
0.18,5.73592084646225,0.4329962357878685,2.4303948879241943,0.04969207104295492,7.0,topological,count,1024,7,k=7,1.0167454784646184
0.2,6.2198129296302795,0.3661806359887123,2.2337656915187836,0.046014138497412205,7.0,topological,count,1024,7,k=7,1.0167454784646184
0.005,720.5279922485352,0.003319109498988837,2.0326637029647827,0.9809759631752968,9.619345664978027,metric,count,1024,7,k=7,1.0167454784646184
0.01,172.4583740234375,0.014063860347960144,2.0675955414772034,0.961092010140419,9.404726266860962,metric,count,1024,7,k=7,1.0167454784646184
0.02,39.21976089477539,0.06168105034157634,2.146638870239258,0.9159407839179039,9.048229813575745,metric,count,1024,7,k=7,1.0167454784646184
0.03,18.99877893924713,0.12232982367277145,2.2387279868125916,0.867331750690937,8.46159142255783,metric,count,1024,7,k=7,1.0167454784646184
0.04,9.367810070514679,0.27822895161807537,2.3500700294971466,0.8138079345226288,8.599506795406342,metric,count,1024,7,k=7,1.0167454784646184
0.05,4.7446829080581665,0.5492623671889305,2.4836394488811493,0.7448543757200241,8.42765361070633,metric,count,1024,7,k=7,1.0167454784646184
0.06,3.5799042880535126,0.7761240229010582,2.625788927078247,0.6718140691518784,8.310319542884827,metric,count,1024,7,k=7,1.0167454784646184
0.07,1.9659629315137863,1.4947232902050018,2.7767956256866455,0.5749590992927551,8.062414526939392,metric,count,1024,7,k=7,1.0167454784646184
0.075,1.592892475426197,2.7386019974946976,2.853080600500107,0.5057871490716934,8.148054003715515,metric,count,1024,7,k=7,1.0167454784646184
0.0775,1.2806354090571404,2.3985136449337006,2.8926751613616943,0.4770049452781677,7.892148196697235,metric,count,1024,7,k=7,1.0167454784646184
0.08,1.3000729754567146,2.4047381430864334,2.932233840227127,0.44471047818660736,7.734777629375458,metric,count,1024,7,k=7,1.0167454784646184
0.0825,0.8597302064299583,3.584416449069977,2.9708759486675262,0.4031805545091629,7.737826943397522,metric,count,1024,7,k=7,1.0167454784646184
0.085,0.8126171752810478,3.9357484579086304,2.993722677230835,0.3805856220424175,7.943398356437683,metric,count,1024,7,k=7,1.0167454784646184
0.0875,0.684566605836153,4.807379722595215,3.0417279303073883,0.3162597380578518,7.533295810222626,metric,count,1024,7,k=7,1.0167454784646184
0.09,0.6693533733487129,5.257857292890549,3.061028152704239,0.28658114559948444,7.4958176612854,metric,count,1024,7,k=7,1.0167454784646184
0.0925,0.7249416373670101,4.611274570226669,3.0844298601150513,0.2271497417241335,7.175251305103302,metric,count,1024,7,k=7,1.0167454784646184
0.095,0.730033915489912,4.5450602769851685,3.1012227833271027,0.19921803660690784,7.065031588077545,metric,count,1024,7,k=7,1.0167454784646184
0.0975,0.8782891258597374,3.7343681156635284,3.109777480363846,0.17559606954455376,6.804604351520538,metric,count,1024,7,k=7,1.0167454784646184
0.1,1.171039067208767,2.854063868522644,3.1132286190986633,0.13734602741897106,6.578371465206146,metric,count,1024,7,k=7,1.0167454784646184
