model,match_method,N,k,k_label,R,matched_R,seed,D,phi_mean,phi_std,chi,sdot,J,mean_degree,mean_kth_dist
topological,count,1024,5,k=5,,0.8024114967626073,0,0.005,0.9375971555709839,0.017133992165327072,0.3006194829940796,2.0564136505126953,6.8405866622924805,5.0,0.8097736239433289
metric,count,1024,5,k=5,0.8024114967626073,0.8024114967626073,0,0.005,0.9627283811569214,0.005233928095549345,0.028051458299160004,2.033317804336548,72.48528289794922,7.799609184265137,
topological,count,1024,5,k=5,,0.8024114967626073,1,0.005,0.9518895745277405,0.007765558082610369,0.06175118684768677,2.0443849563598633,33.1068115234375,5.0,0.7620936632156372
metric,count,1024,5,k=5,0.8024114967626073,0.8024114967626073,1,0.005,0.9647141695022583,0.0033574518747627735,0.011543023400008678,2.0383400917053223,176.58631896972656,6.983105182647705,
topological,count,1024,5,k=5,,0.8024114967626073,2,0.005,0.9415029883384705,0.010746436193585396,0.1182575672864914,2.0405385494232178,17.255035400390625,5.0,0.7365911602973938
metric,count,1024,5,k=5,0.8024114967626073,0.8024114967626073,2,0.005,0.9662124514579773,0.00534854456782341,0.029293498024344444,2.0423288345336914,69.71952819824219,7.747402191162109,
topological,count,1024,5,k=5,,0.8024114967626073,3,0.005,0.9429240226745605,0.023794235661625862,0.5797536969184875,2.0354318618774414,3.5108561515808105,5.0,0.7709729075431824
metric,count,1024,5,k=5,0.8024114967626073,0.8024114967626073,3,0.005,0.9658393859863281,0.00501371081918478,0.025740593671798706,2.0379724502563477,79.1734848022461,7.838788986206055,
topological,count,1024,5,k=5,,0.8024114967626073,4,0.005,0.9518479704856873,0.007719821762293577,0.0610259473323822,2.0484886169433594,33.567501068115234,5.0,0.783245325088501
metric,count,1024,5,k=5,0.8024114967626073,0.8024114967626073,4,0.005,0.9618511199951172,0.00540707865729928,0.029938174411654472,2.0350115299224854,67.97380828857422,8.272440910339355,
topological,count,1024,5,k=5,,0.8024114967626073,5,0.005,0.884955883026123,0.03695428743958473,1.398394227027893,2.0708937644958496,1.4809085130691528,5.0,0.6917250156402588
metric,count,1024,5,k=5,0.8024114967626073,0.8024114967626073,5,0.005,0.9664274454116821,0.008402385748922825,0.07229448854923248,2.0237178802490234,27.992698669433594,8.633749961853027,
topological,count,1024,5,k=5,,0.8024114967626073,6,0.005,0.9148620367050171,0.026911089196801186,0.7415876388549805,2.0697128772735596,2.790921449661255,5.0,0.7349410653114319
metric,count,1024,5,k=5,0.8024114967626073,0.8024114967626073,6,0.005,0.9674829840660095,0.004238235764205456,0.0183937456458807,2.027777671813965,110.2427749633789,9.141406059265137,
topological,count,1024,5,k=5,,0.8024114967626073,7,0.005,0.931379497051239,0.015258206985890865,0.2384003847837448,2.0518667697906494,8.606809616088867,5.0,0.6807220578193665
metric,count,1024,5,k=5,0.8024114967626073,0.8024114967626073,7,0.005,0.9402098655700684,0.018015975132584572,0.3323651850223541,2.0327563285827637,6.116032600402832,9.200136184692383,
topological,count,1024,5,k=5,,0.8024114967626073,0,0.006667,0.9403308033943176,0.016690034419298172,0.28524264693260193,2.065368413925171,7.240742206573486,5.0,0.8211354613304138
metric,count,1024,5,k=5,0.8024114967626073,0.8024114967626073,0,0.006667,0.9541201591491699,0.004632985219359398,0.02197970263659954,2.0451135635375977,93.0455551147461,7.717929363250732,
topological,count,1024,5,k=5,,0.8024114967626073,1,0.006667,0.9029943943023682,0.02313428744673729,0.548039972782135,2.0655510425567627,3.768979072570801,5.0,0.713866114616394
metric,count,1024,5,k=5,0.8024114967626073,0.8024114967626073,1,0.006667,0.9555073976516724,0.005311858840286732,0.02889302745461464,2.051072597503662,70.9885025024414,8.416582107543945,
