model,match_method,N,k,k_label,R,matched_R,seed,D,phi_mean,phi_std,chi,sdot,J,mean_degree,mean_kth_dist
topological,count,1024,10,k=10,,1.2163215467980262,0,0.005,0.9854180812835693,0.0012206387473270297,0.0015257180202752352,2.042741298675537,1338.8721923828125,10.0,1.240946650505066
metric,count,1024,10,k=10,1.2163215467980262,1.2163215467980262,0,0.005,0.9862228035926819,0.0007484368979930878,0.0005736015737056732,2.0341382026672363,3546.25634765625,12.881601333618164,
topological,count,1024,10,k=10,,1.2163215467980262,1,0.005,0.9862087965011597,0.0006285901763476431,0.0004046086687594652,2.0349137783050537,5029.337890625,10.0,1.2232224941253662
metric,count,1024,10,k=10,1.2163215467980262,1.2163215467980262,1,0.005,0.9861953258514404,0.0008704503998160362,0.0007758683059364557,2.029913902282715,2616.3125,12.95767593383789,
topological,count,1024,10,k=10,,1.2163215467980262,2,0.005,0.9853368997573853,0.0010019276523962617,0.001027951599098742,2.0313756465911865,1976.1392822265625,10.0,1.216481328010559
metric,count,1024,10,k=10,1.2163215467980262,1.2163215467980262,2,0.005,0.9857085347175598,0.000913654628675431,0.0008547991164959967,2.0335147380828857,2378.938720703125,12.479082107543945,
topological,count,1024,10,k=10,,1.2163215467980262,3,0.005,0.986484944820404,0.0006346845184452832,0.0004124922270420939,2.0269038677215576,4913.798828125,10.0,1.256962537765503
metric,count,1024,10,k=10,1.2163215467980262,1.2163215467980262,3,0.005,0.986007809638977,0.0008111348724924028,0.0006737303920090199,2.0357580184936523,3021.621337890625,10.722578048706055,
topological,count,1024,10,k=10,,1.2163215467980262,4,0.005,0.9862910509109497,0.0006714228657074273,0.00046162810758687556,2.039247751235962,4417.51220703125,10.0,1.2599350214004517
metric,count,1024,10,k=10,1.2163215467980262,1.2163215467980262,4,0.005,0.9853306412696838,0.0007294325041584671,0.0005448415176942945,2.0372426509857178,3739.147216796875,10.005742073059082,
topological,count,1024,10,k=10,,1.2163215467980262,5,0.005,0.9856166839599609,0.0009515686542727053,0.0009272145107388496,2.0322062969207764,2191.732666015625,10.0,1.169251799583435
metric,count,1024,10,k=10,1.2163215467980262,1.2163215467980262,5,0.005,0.9858489632606506,0.0008541100542061031,0.0007470120908692479,2.0264716148376465,2712.769775390625,13.907480239868164,
topological,count,1024,10,k=10,,1.2163215467980262,6,0.005,0.9851924777030945,0.0011670237872749567,0.0013946311082690954,2.0481507778167725,1468.596923828125,10.0,1.210992455482483
metric,count,1024,10,k=10,1.2163215467980262,1.2163215467980262,6,0.005,0.9857372641563416,0.0008173927199095488,0.0006841659778729081,2.028568983078003,2965.024658203125,13.175585746765137,
topological,count,1024,10,k=10,,1.2163215467980262,7,0.005,0.9863170981407166,0.0008624654728919268,0.000761699047870934,2.0384185314178467,2676.14697265625,10.0,1.2465250492095947
metric,count,1024,10,k=10,1.2163215467980262,1.2163215467980262,7,0.005,0.9856948852539062,0.00086397206177935,0.0007643624558113515,2.032132148742676,2658.59765625,10.718554496765137,
topological,count,1024,10,k=10,,1.2163215467980262,0,0.01,0.969632089138031,0.002503718016669154,0.006419050972908735,2.0773141384124756,323.6170349121094,10.0,1.239081621170044
metric,count,1024,10,k=10,1.2163215467980262,1.2163215467980262,0,0.01,0.9714205861091614,0.0013942408841103315,0.001990561606362462,2.0651910305023193,1037.49169921875,12.253710746765137,
topological,count,1024,10,k=10,,1.2163215467980262,1,0.01,0.9702572226524353,0.0017307900125160813,0.003067529294639826,2.0698819160461426,674.771728515625,10.0,1.2350666522979736
metric,count,1024,10,k=10,1.2163215467980262,1.2163215467980262,1,0.01,0.9712873697280884,0.0016077328473329544,0.002646840177476406,2.0637030601501465,779.685546875,11.707499504089355,
topological,count,1024,10,k=10,,1.2163215467980262,2,0.01,0.9707337021827698,0.001953819068148732,0.003909027203917503,2.066593885421753,528.6721801757812,10.0,1.237794041633606
metric,count,1024,10,k=10,1.2163215467980262,1.2163215467980262,2,0.01,0.9703423380851746,0.0019840942695736885,0.004031109157949686,2.068530321121216,513.1417236328125,11.000468254089355,
