N,k,D,phi_mean,phi_std,main_cost,c1,c_mis,chi_phi,chi_conn,xi,chi_xi,chi_C,J_phi,J_conn,J_xi,J_C,J_mis_phi,J_mis_conn,J_mis_xi,J_mis_C,J_c1_phi,J_c1_conn,J_c1_xi,J_c1_C,Jalpha_phi_0.8,Jalpha_conn_0.8,Jalpha_xi_0.8,Jalpha_C_0.8,Jalpha_phi_1.0,Jalpha_conn_1.0,Jalpha_xi_1.0,Jalpha_C_1.0,Jalpha_phi_1.2,Jalpha_conn_1.2,Jalpha_xi_1.2,Jalpha_C_1.2,phi_mean_std,phi_std_std,main_cost_std,c1_std,c_mis_std,chi_phi_std,chi_conn_std,xi_std,chi_xi_std,chi_C_std,J_phi_std,J_conn_std,J_xi_std,J_C_std,J_mis_phi_std,J_mis_conn_std,J_mis_xi_std,J_mis_C_std,J_c1_phi_std,J_c1_conn_std,J_c1_xi_std,J_c1_C_std,Jalpha_phi_0.8_std,Jalpha_conn_0.8_std,Jalpha_xi_0.8_std,Jalpha_C_0.8_std,Jalpha_phi_1.0_std,Jalpha_conn_1.0_std,Jalpha_xi_1.0_std,Jalpha_C_1.0_std,Jalpha_phi_1.2_std,Jalpha_conn_1.2_std,Jalpha_xi_1.2_std,Jalpha_C_1.2_std
1024,5,1e-06,0.9999902620911598,4.675867486980678e-06,2.0002117604017258,0.0019533317972673103,2.731944164224842e-06,3.0517578125e-05,0.016810569912195206,3.9178132714561666,61.06325651011865,40.40633473845028,1000060552976.72,157.86293677366245,0.03421451404812354,0.0542079975199197,1366874.9960110828,0.00021562939802136134,4.674129562962682e-08,7.40719354929397e-08,976621633.7663281,0.15416302419302974,3.3412611375120646e-05,5.293749757804658e-05,3981314241.3936033,64.62514204625114,0.07694656177421555,0.11063803059014166,1000060552976.72,157.86293677366245,0.03421451404812354,0.0542079975199197,251203851030961.44,388.8559016547209,0.015236582215471466,0.02667669013021652,5.708631324903301e-06,6.0388907444908e-06,0.00066177338549696,6.46263071774375e-07,8.035938264196308e-09,0.00013049865327755097,0.010362162636315612,0.29778616461834034,14.522671231734185,11.9029229256874,1069109876336.7357,81.59446752587081,0.007181215192043014,0.01969841605619143,1461258.2659929243,0.00011146266788046893,9.876726215881606e-09,2.7080235699177146e-08,1044052613.6100935,0.07968209719323321,7.012905460979506e-06,1.9236734429874443e-05,4256201507.172081,27.255015012454532,0.013080078107548973,0.03136244263044689,1069109876336.7357,81.59446752587081,0.007181215192043014,0.01969841605619143,268548261717938.84,236.84319297547228,0.0037916997923781066,0.011928432748490194
1024,5,0.005,0.8419608771800995,0.03704004059545696,2.0000642836093903,0.001953187776962295,0.013742962968535721,1.4433517456054688,78.08354806900024,3.2587226747151856,35.54484239546028,20.67779731853744,1.5949997234297721,0.04366165074653998,0.0608021971374038,0.09852883230259904,0.01095592778647103,0.0002999876570531911,0.0004177861741520047,0.0006770100458047077,0.0015576169174118869,4.263833080716795e-05,5.93771456419959e-05,9.621956279550687e-05,1.6492400799363687,0.09010961968839894,0.1215727404837578,0.17965672880211694,1.5949997234297721,0.04366165074653998,0.0608021971374038,0.09852883230259904,1.5518023303465587,0.021503125047593434,0.03049089944096182,0.05407315809648183,0.012661313073471219,0.007279928952106748,0.00032180463100858466,3.1426233496932095e-07,1.3864232680686164e-05,0.5564715455502354,54.40122735031411,0.3293102623650621,10.968149033636301,3.0993556681359036,0.6817380074412014,0.03294747036364789,0.017110499634065825,0.013870890753948123,0.00466990419078449,0.0002263929786387032,0.00011759589878669603,9.53101761316482e-05,0.0006657597728917982,3.217526402699989e-05,1.6709472298892408e-05,1.3545791751902464e-05,0.5563583884226057,0.05595838941712323,0.02775548217658611,0.02037078283646727,0.6817380074412014,0.03294747036364789,0.017110499634065825,0.013870890753948123,0.8069645656289379,0.018847856935672997,0.010146511911128862,0.00907360899029796
1024,5,0.02,0.6645828410983086,0.09237534366548061,2.000039428472519,0.0019531635043676943,0.05535311112180352,9.03839111328125,197.81302547454834,3.615290185432298,47.55745437570499,27.838060615065483,0.26813563805020696,0.011319007296873459,0.04287609756375579,0.07293521603659145,0.00741818670336641,0.0003132353373694758,0.0011866107164500296,0.0020185293156751143,0.00026185120903340523,1.1053718063352987e-05,4.187118902710526e-05,7.122579691073384e-05,0.3936925509523211,0.03155713274199204,0.0923223362179752,0.14125949492027523,0.26813563805020696,0.011319007296873459,0.04287609756375579,0.07293521603659145,0.18430420207478826,0.004079518746195623,0.019927811154707334,0.037681773839914764,0.016738243565833606,0.0199664530545456,0.0005058708721915875,4.940145236245971e-07,6.312230509478636e-05,3.562392936834519,66.48627788802855,0.17906226197458663,7.052048366977388,3.5410254471867835,0.1431492992419213,0.004296604432935732,0.006398133293575316,0.009832703336865211,0.003953272016840295,0.00011881897840523668,0.0001768750134560306,0.0002719711420577789,0.00013979423754093877,4.195902766538801e-06,6.248177044507145e-06,9.602249352407433e-06,0.16536638982878912,0.009516809398212808,0.011012565678233756,0.015161721519455792,0.1431492992419213,0.004296604432935732,0.006398133293575316,0.009832703336865211,0.11949699809916912,0.0018677898173100184,0.0035712822477315317,0.006124265436239228
1024,5,0.05,0.4803375080227852,0.10101937502622604,1.9943706691265106,0.001947627606568858,0.13872359693050385,10.625314712524414,198.10082054138184,3.582861930515003,46.37716961898565,24.368589326708726,0.20472507286917976,0.010121012729822057,0.04411348891507376,0.08396945800724678,0.014237569861163804,0.0007039989636753746,0.0030683760806886236,0.005840468224764224,0.00019992682897380836,9.883801493966853e-06,4.307957901862672e-05,8.200142383520194e-05,0.3207226928328717,0.029104317953257505,0.09434378429819049,0.1578733641792289,0.20472507286917976,0.010121012729822057,0.04411348891507376,0.08396945800724678,0.1310671077407899,0.003520315019899182,0.020648328450184144,0.044712173425629706,0.030106418512962127,0.016444798369409274,0.0007813516265386788,7.630386977916785e-07,0.00014052637039522459,3.5485593104577906,15.467253085805496,0.20255817421967554,7.724158630666689,3.952121606047551,0.06047397208261724,0.0007857824757264717,0.00767357303632727,0.015190787731695863,0.00419682342955624,5.4734519027339914e-05,0.0005331882769783309,0.0010541005160229204,5.90566133619309e-05,7.673656989516325e-07,7.493723668288349e-06,1.483475364423424e-05,0.07687687810942549,0.0018104231783600468,0.01309184778932993,0.022602460881914362,0.06047397208261724,0.0007857824757264717,0.00767357303632727,0.015190787731695863,0.04578969184356679,0.00032753412126655104,0.004320783047453054,0.009810409806342015
1024,5,0.05415,0.4334462098777294,0.10573016665875912,1.9913554340600967,0.0019446830410743132,0.15014450810849667,11.587352752685547,176.44125366210938,3.62487641075883,47.6969093563816,24.027270527820733,0.18429383794551668,0.011322535543551691,0.041922547386162134,0.08337240299969549,0.013893644957028009,0.0008537454746570683,0.0031608031282881993,0.0062858740552038835,0.00017997445111866863,1.1057163616749699e-05,4.093998768179896e-05,8.141836230439013e-05,0.2951173721909012,0.031832559711833464,0.09070868749535886,0.157197039517872,0.18429383794551668,0.011322535543551691,0.041922547386162134,0.08337240299969549,0.11536558587616803,0.0040278471890274874,0.01937824690161588,0.044228343741187545,0.022345666964190915,0.015421089921164066,0.0007526036525256181,7.349645044195489e-07,0.0002158501462108662,3.47469730363535,10.521595936404315,0.08367686491670877,3.358768682434866,2.003494913031514,0.04908950597080176,0.0006970352731157805,0.0028026988980602834,0.006774999133757347,0.0036941281701258267,5.3453568915717e-05,0.00021003190603991894,0.0005072461476197008,4.793897067461109e-05,6.806985089021294e-07,2.7370106426369955e-06,6.616210091559909e-06,0.06366188440280933,0.0015645767993386196,0.004873944138761662,0.010244392191584765,0.04908950597080176,0.0006970352731157805,0.0028026988980602834,0.006774999133757347,0.03642245504310556,0.0002982241977183345,0.001547247466137434,0.004301684072501284
1024,5,0.0607,0.3887586146593094,0.10555315855890512,1.9848335087299347,0.0019383139733690768,0.16806920617818832,11.409818649291992,151.4597225189209,3.6759558144983284,49.863147087058955,24.561740400856372,0.17841225184665663,0.013189439513465186,0.04025590267698357,0.08117820395649442,0.015106737069190433,0.0011168997731358535,0.0034088267894544205,0.006873899299403449,0.0001742307146940006,1.2880312024868346e-05,3.931240495799177e-05,7.927558980126408e-05,0.28828392729853936,0.035933251349969,0.08770626970188716,0.15379324911825876,0.17841225184665663,0.013189439513465186,0.04025590267698357,0.08117820395649442,0.11052312796559748,0.0048425286905363595,0.018484702859510222,0.0428569644663511,0.019873368012979446,0.00900853835069058,0.0008856736293449317,8.649156536571598e-07,8.200551238903186e-05,1.9496793065561695,12.805454583715346,0.1403217944317799,5.806484463509995,1.761381956336962,0.029989303777688714,0.0011488882740699278,0.004434390506845294,0.005883092158264059,0.00253488605769151,9.812968504242804e-05,0.0003763616013642027,0.0004979331208469665,2.9286429470399135e-05,1.1219612051464139e-06,4.330459479341107e-06,5.7452071858047454e-06,0.038911115081984575,0.00249304976182007,0.007773670420423665,0.008904920599945673,0.029989303777688714,0.0011488882740699278,0.004434390506845294,0.005883092158264059,0.022204552682492783,0.0005082084165009876,0.002428935752123202,0.0037316264966837757
1024,5,0.06725,0.3787855952978134,0.1081747654825449,1.9765096604824066,0.0019301852153148502,0.18556955456733704,12.025399208068848,144.46020317077637,3.663795283284329,49.56175064891494,22.866544975641638,0.17076400156490182,0.01384532509261953,0.040805909827465806,0.08742320468167951,0.016033363347526114,0.0012999867810453087,0.0038309861766662266,0.008207571671565252,0.00016676172027822443,1.352082528576126e-05,3.9849521315884576e-05,8.537422332195265e-05,0.2778586867761576,0.037309788002750977,0.08850655227976936,0.16295934298383136,0.17076400156490182,0.01384532509261953,0.040805909827465806,0.08742320468167951,0.10509532002572755,0.0051401786115855535,0.01883022654584565,0.04692209333013533,0.023543569296509265,0.011495967601795167,0.0007834187264780906,7.650573500762604e-07,0.00013002299423333247,2.596397134920382,17.269741074889552,0.1986898420873293,8.118989101173852,2.5477430488227415,0.03462783237343684,0.0015668161383445977,0.006532214638013528,0.010157699408642895,0.003256014849494114,0.0001479109053026992,0.0006118693808468927,0.0009498571992084583,3.3816242552184415e-05,1.5300938851021462e-06,6.379115857435086e-06,9.919628328752827e-06,0.04536152394957379,0.0033954144368171213,0.011370219016910103,0.015106165213310855,0.03462783237343684,0.0015668161383445977,0.006532214638013528,0.010157699408642895,0.02541373993991279,0.000694188909560573,0.0036059687295394555,0.006560606879573682
1024,5,0.0738,0.35068222135305405,0.10171465575695038,1.9664593189954758,0.0019203704287065193,0.2029840275645256,10.643990516662598,118.17895030975342,3.717101584046353,51.8741406818356,23.85871531665604,0.19321450609191887,0.017050583942619657,0.03908194632858956,0.08382001716816527,0.019943759121802226,0.0017601552859634866,0.004034494701053828,0.008652349401443112,0.00018868604110538952,1.665096088146451e-05,3.816596321151324e-05,8.18554855157864e-05,0.3061702767142973,0.04397814292746974,0.08535576371627282,0.1573159369916769,0.19321450609191887,0.017050583942619657,0.03908194632858956,0.08382001716816527,0.12216243059353699,0.006617596902832635,0.017917129262101584,0.044695438283559895,0.025734347734169476,0.011415383961787989,0.0011166378048394288,1.0904666062885047e-06,0.00025468253756810315,2.3910903932018175,18.814426900528634,0.23009196097323914,9.528973628411197,3.0645746929909152,0.045422783381166495,0.002982127304421098,0.007468801056173088,0.012571348045619164,0.004682762761197492,0.0003088056774670771,0.0007727501069305445,0.0012989939109366504,4.4358186895670406e-05,2.9122336957237284e-06,7.293751031419031e-06,1.2276707075799965e-05,0.05699546578381792,0.006102256309709949,0.01297681587261839,0.018562627840307117,0.045422783381166495,0.002982127304421098,0.007468801056173088,0.012571348045619164,0.03484573191646818,0.0014004267807397124,0.004132380049722166,0.008177646127357581
1024,5,0.08035,0.31677814945578575,0.10346743930131197,1.9540492296218872,0.0019082512008026242,0.22001155652105808,10.90245246887207,105.91161346435547,3.7221815992294935,51.903721768424994,23.452096297294336,0.17978376696330933,0.01869437905814256,0.03840362889857276,0.0847493797472177,0.02024256601201205,0.0021049334117455402,0.004324002189077205,0.009542153666692208,0.00017557008492510677,1.8256229548967344e-05,3.750354384626246e-05,8.276306615939229e-05,0.2896559156855092,0.047325444231274535,0.0841341796059291,0.15852506893434665,0.17978376696330933,0.01869437905814256,0.03840362889857276,0.0847493797472177,0.11160158598683433,0.007388537352601105,0.017544237681628945,0.04533935145507212,0.018872669827379247,0.0030941131767815953,0.0007295067355932214,7.124089214777553e-07,0.00012139172565950786,0.6566602599503326,12.875568584299277,0.18539326995403857,7.621239025813155,3.2146202296480095,0.010506578890357332,0.002311633206214054,0.005959585079916468,0.011959034338361265,0.001187513222789389,0.0002610862106196127,0.0006715604741904883,0.0013467278642250097,1.0260330947614582e-05,2.257454302943412e-06,5.819907304605926e-06,1.1678744471055923e-05,0.013588433388765857,0.004675890942483122,0.010386141215603476,0.017870302579004557,0.010506578890357332,0.002311633206214054,0.005959585079916468,0.011959034338361265,0.007799483885536907,0.0010975938007209895,0.003285687359815542,0.007686679428180158
1024,5,0.0869,0.2961575649678707,0.09721727203577757,1.9412426948547363,0.0018957448191940784,0.23677116446197033,9.638385772705078,93.80319118499756,3.846965887794728,57.021409053228915,23.039211474377073,0.2030846134387381,0.020974560684795623,0.034205788641246036,0.0853047086691658,0.02477092208364864,0.0025583090903838557,0.004172064921281814,0.010404357122898722,0.00019832481781126767,2.0482969418745725e-05,3.340409046996683e-05,8.330537955973223e-05,0.31877553052930113,0.05181797581592224,0.07668848336164973,0.15922480757370772,0.2030846134387381,0.020974560684795623,0.034205788641246036,0.0853047086691658,0.129419711011057,0.008494889854625345,0.015259912934785711,0.04572072228642659,0.01855500826148719,0.0048385340559559025,0.00037853687202253053,3.6966491408450247e-07,0.0001625547177312873,0.9819820745740762,11.157469141706995,0.09422797229227342,4.177612675937099,2.9901590683517725,0.01893563717952278,0.002711013869489247,0.0025298799774944544,0.009264282719411751,0.0023208073043198183,0.00033122043969758576,0.00030885428856272483,0.0011283011227404063,1.8491833183127715e-05,2.647474481923093e-06,2.470585915521928e-06,9.047151093175538e-06,0.023983738129799616,0.005311429279062546,0.004532784646034126,0.014081237177571147,0.01893563717952278,0.002711013869489247,0.0025298799774944544,0.009264282719411751,0.014359221279960713,0.0013291735083884213,0.001355797096345604,0.005854679244198613
