N,k,D,seed,phi_mean,phi_std,main_cost,c1,c_mis,chi_phi,chi_conn,xi,chi_xi,chi_C,J_phi,J_conn,J_xi,J_C,J_mis_phi,J_mis_conn,J_mis_xi,J_mis_C,J_c1_phi,J_c1_conn,J_c1_xi,J_c1_C,Jalpha_phi_0.8,Jalpha_conn_0.8,Jalpha_xi_0.8,Jalpha_C_0.8,Jalpha_phi_1.0,Jalpha_conn_1.0,Jalpha_xi_1.0,Jalpha_C_1.0,Jalpha_phi_1.2,Jalpha_conn_1.2,Jalpha_xi_1.2,Jalpha_C_1.2
1024,5,0.005,0,0.8633402585983276,0.03289473056793213,1.9996761083602905,0.0019528086995705962,0.01373087428510189,1.10107421875,81.02516174316406,3.5676766782532883,45.4105192881645,18.594009971610326,1.8161138225817628,0.0246796928921774,0.04403552612272093,0.10754410218201628,0.012470434827445087,0.0001694643242876382,0.0003023721045330705,0.0007384568635849094,0.0017735486548650027,2.4101262590016993e-05,4.300344347921966e-05,0.00010502353728712527,1.8514261037253745,0.0594379377059608,0.09445707288740622,0.19295729850502433,1.8161138225817628,0.0246796928921774,0.04403552612272093,0.10754410218201628,1.7814750531689494,0.01024744910002335,0.02052919386159993,0.05993934411262917
1024,5,0.005,1,0.8453589677810669,0.034753892570734024,1.9999653100967407,0.0019530911231413484,0.013743961229920387,1.2291259765625,147.34860229492188,3.1336040108876295,30.77034341532632,20.685263092064737,1.6271442864547125,0.013573018535281119,0.06499652223902654,0.0966855147645652,0.011181897943738982,9.327513811370609e-05,0.0004466625882074067,0.0006644325077592479,0.0015890080922409302,1.3254900913360468e-05,6.347316624904935e-05,9.44194480122707e-05,1.6956856503993634,0.036842207674866206,0.12897828210943263,0.17721220262840626,1.6271442864547125,0.013573018535281119,0.06499652223902654,0.0966855147645652,1.561373435175712,0.005000428687251676,0.03275394767301925,0.05275081866055707
1024,5,0.005,2,0.8319110870361328,0.03709118813276291,2.000056505203247,0.001953180180862546,0.01374573539942503,1.40020751953125,125.1369400024414,2.8805621157598775,23.90186196907026,18.544467857642218,1.4284000602087965,0.015982942408246728,0.08367785354092419,0.1078519222312987,0.009816927282340774,0.0001098455452015756,0.0005750905689779495,0.0007412310509498055,0.0013949219337976528,1.5608342195553445e-05,8.171665384855878e-05,0.00010532414280400264,1.5278768159549263,0.041988836511277716,0.15786900734089276,0.19340636606394973,1.4284000602087965,0.015982942408246728,0.08367785354092419,0.1078519222312987,1.335400020929884,0.006083865837928603,0.044353120927001846,0.06014298994243022
1024,5,0.005,3,0.8407936096191406,0.033108629286289215,2.000149965286255,0.0019532714504748583,0.013745991513133049,1.115478515625,26.257699966430664,3.7678359926774116,53.49041549475266,23.84734250596404,1.7930869463367258,0.07617384492333146,0.037392679544290826,0.08387307578553177,0.012322954965592683,0.0005235032592613483,0.0002569804587605328,0.0005764160727634653,0.0017510614710319588,7.438852043294088e-05,3.651628861747151e-05,8.190730057180837e-05,1.8327093306205022,0.14643915484728587,0.08287848084717787,0.15816506624202908,1.7930869463367258,0.07617384492333146,0.037392679544290826,0.08387307578553177,1.7543211808904822,0.03962365568453902,0.016870633597643177,0.04447690636667423
1024,5,0.005,4,0.8286945223808289,0.047195084393024445,2.0005409717559814,0.0019536532927304506,0.013754874467849731,2.26654052734375,145.66256713867188,2.9422267867382232,25.469970107261563,16.894861025050165,0.8826407238790898,0.013734077402682676,0.07854508518585271,0.11841121207151459,0.006068664690487411,9.442971339887883e-05,0.0005400428194428142,0.0008141454639641754,0.0008619538319131736,1.3412184963557301e-05,7.670418475180929e-05,0.00011563594928858846,1.0395769921046625,0.037193674205887234,0.15008065004455004,0.20842209230093517,0.8826407238790898,0.013734077402682676,0.07854508518585271,0.11841121207151459,0.749395815188809,0.005071423733475146,0.041106767628082304,0.06727317142561039
1024,5,0.005,5,0.8420297503471375,0.039177004247903824,2.0004947185516357,0.0019536081235855818,0.013750417158007622,1.56195068359375,19.787145614624023,3.0739637146795675,29.046660604348126,19.12125401621536,1.2807668894826305,0.10110072253539876,0.06887176277510443,0.10462152308918443,0.008803361913047434,0.0006949166608368791,0.0004733906367174359,0.0007191169128524145,0.0012507489155103814,9.873117435097535e-05,6.725758083506292e-05,0.00010216945614178167,1.4002434671307007,0.18366689723344323,0.1351015840046702,0.188766234410794,1.2807668894826305,0.10110072253539876,0.06887176277510443,0.10462152308918443,1.1714847194083706,0.05565159672833258,0.03510928271267562,0.05798528072388596
1024,5,0.005,6,0.8280843496322632,0.04662015289068222,1.9997138977050781,0.0019528456032276154,0.01375696063041687,2.2119140625,46.869483947753906,3.5688860638379154,45.456715273185225,26.236103593942723,0.9040649144591612,0.04266558385695452,0.04399160576577567,0.07621992688604734,0.006219482421875,0.00029351636654996997,0.0003026386871057544,0.000524352275907045,0.0008828758930265246,4.166560923530715e-05,4.29605525056403e-05,7.44335223496556e-05,1.059627608142055,0.0920991723592793,0.09438205405845518,0.14650363326443613,0.9040649144591612,0.04266558385695452,0.04399160576577567,0.07621992688604734,0.7713401984581716,0.019765129253861438,0.020504548212659474,0.03965415140270556
1024,5,0.005,7,0.8554744720458984,0.025479642674326897,1.9999167919158936,0.0019530437421053648,0.01371488906443119,0.6605224609375,32.58078384399414,3.1350260348875705,30.81225301157355,21.499076485809955,3.0277801440352983,0.06138332341824714,0.06490654192553509,0.09302338141063406,0.020763698247240864,0.00042095024877553274,0.0004451115294710734,0.0006379292186565983,0.002956816546909471,5.9944651775631974e-05,6.338529484915536e-05,9.084314590882232e-05,2.786774671413365,0.12320907696919117,0.12883479257747743,0.17182093700136095,3.0277801440352983,0.06138332341824714,0.06490654192553509,0.09302338141063406,3.2896282195520907,0.03058145135533566,0.032699700915012966,0.05036260213736209
1024,5,0.02,0,0.6639262437820435,0.061236217617988586,2.000441074371338,0.0019535557366907597,0.05532117933034897,3.81597900390625,113.52522277832031,3.6848167281388,50.03197842679733,28.702243662812695,0.5242274845651861,0.017621115602455863,0.039983249459107806,0.06969633098624818,0.014497244160337127,0.00048730297969442563,0.0011057164051845433,0.0019274165455582274,0.0005119409028956895,1.7208120705523303e-05,3.904614204990997e-05,6.806282322875799e-05,0.6852372791851695,0.045399583950956064,0.08744351803754645,0.1363933152150847,0.5242274845651861,0.017621115602455863,0.039983249459107806,0.06969633098624818,0.4010500653150837,0.0068393515546429275,0.0182822040236626,0.03561449140879468
1024,5,0.02,1,0.6638076901435852,0.11652618646621704,1.9996496438980103,0.0019527828553691506,0.05532263591885567,13.81732177734375,213.4124298095703,3.894056571398598,59.04821443778974,31.801820314713066,0.1447204947616429,0.009369883683355812,0.033864692826651714,0.0628784649466394,0.004003861009415598,0.0002592287429941195,0.0009369061612716646,0.0017396059524699826,0.0001413286081656669,9.15027703452716e-06,3.3070989088527065e-05,6.140475092445254e-05,0.24468920667918098,0.027389123969764378,0.07655763247714151,0.12560077715396448,0.1447204947616429,0.009369883683355812,0.033864692826651714,0.0628784649466394,0.08559438272042383,0.003205459230333052,0.014979792127008255,0.03147831919223889
1024,5,0.02,2,0.6505510210990906,0.1104414239525795,1.9996747970581055,0.0019528074190020561,0.055445946753025055,12.4119873046875,224.2822265625,3.7938301198967235,54.60515452764821,31.83196434809088,0.16110835017555247,0.008915886148030827,0.03662062335242749,0.06281971087901259,0.004467128864374957,0.00024721507184419765,0.001015397671385604,0.001741832396728932,0.00015733237321831296,8.706920066436354e-06,3.576232749260497e-05,6.134737390528573e-05,0.26661606529283133,0.02632227886705472,0.0815027871644997,0.12550719434068944,0.16110835017555247,0.008915886148030827,0.03662062335242749,0.06281971087901259,0.09735310011337989,0.00301999026019523,0.01645428458800596,0.031442947120708095
1024,5,0.02,3,0.7013964056968689,0.06530992686748505,1.9998090267181396,0.0019529385026544333,0.055244963616132736,4.34051513671875,220.00711059570312,3.5580903111625166,45.045447044697696,28.887109013150194,0.46073080354004076,0.00908974724182027,0.04439536419149685,0.06922842385535266,0.01272774356868057,0.00025110535503397363,0.0012264272471602794,0.0019124434913505445,0.00044993242533207105,8.876706290840108e-06,4.3354847843258645e-05,6.760588267124283e-05,0.6179530844273802,0.026732473837386826,0.09507532163571258,0.1356517060371894,0.46073080354004076,0.00908974724182027,0.04439536419149685,0.06922842385535266,0.34350969139890625,0.003090754167488448,0.020730388578094536,0.035329999227451364
1024,5,0.02,4,0.6500154137611389,0.10426270961761475,2.000778913497925,0.001953885657712817,0.05540735274553299,11.061981201171875,309.89697265625,3.6030617169150916,46.77514082275269,29.614329378529554,0.18086985297768973,0.006456271245080113,0.04277440705266016,0.06756117580526722,0.005008809157952944,0.00017879281707922014,0.0011845470002001866,0.0018709642902028174,0.00017663071579852513,6.304952387773548e-06,4.177188188736344e-05,6.597771074733126e-05,0.29250464612691507,0.020334113094843585,0.09229687964135602,0.13304470035085403,0.18086985297768973,0.006456271245080113,0.04277440705266016,0.06756117580526722,0.1118406293689326,0.002049926554240449,0.019823529309075806,0.03430811196652767
1024,5,0.02,5,0.6703882217407227,0.09757960587739944,1.9998639822006226,0.0019529921701177955,0.05538402870297432,9.68939208984375,229.64315795898438,3.439343748131315,40.684290977856,25.87422693948711,0.20639726039127312,0.00870857202964353,0.04915567984923532,0.07729173848856505,0.005715944631967869,0.00024117430362487105,0.0013613123731987665,0.002140509505172956,0.00020155982460085266,8.50446487269876e-06,4.800359360276887e-05,7.54802133677393e-05,0.3250597780386681,0.0258319773010446,0.10314758335856711,0.1481516703690477,0.20639726039127312,0.00870857202964353,0.04915567984923532,0.07729173848856505,0.13105229245543712,0.0029358661132155312,0.023425472345201884,0.04032362796655203
1024,5,0.02,6,0.6518515348434448,0.08961165696382523,2.0006465911865234,0.0019537564367055893,0.055378567427396774,8.171661376953125,111.87064361572266,3.608788699285933,46.998539512426554,22.568118494834245,0.24482739786905877,0.017883570939832748,0.04256827152378951,0.08864924170105114,0.00677690433717472,0.0004950232307380208,0.0011783040069309923,0.002453840688583442,0.0002390892557315027,1.7464424745930418e-05,4.157057765995069e-05,8.657152509868275e-05,0.3726679883502423,0.045940685280805374,0.09193965898502762,0.16533853900573023,0.24482739786905877,0.017883570939832748,0.04256827152378951,0.08864924170105114,0.1608414369387717,0.006961631233952363,0.019709206674544687,0.04753089087051278
1024,5,0.02,7,0.664726197719574,0.09403502196073532,1.9994513988494873,0.0019525892566889524,0.05532021448016167,8.998291015625,159.86643981933594,3.3403335885294045,37.27086925567169,23.424672768906124,0.2222034601212117,0.012507011484768503,0.05364649225467745,0.08535664163059542,0.00614785789702749,0.0003460401979469781,0.0014842748662682,0.0023616216553340136,0.0002169955665246208,1.2213878403094241e-05,5.238915259245845e-05,8.335609534237834e-05,0.3448123595181811,0.03450682563408074,0.11061530844395058,0.16038805688964183,0.2222034601212117,0.012507011484768503,0.05364649225467745,0.08535664163059542,0.143192018287371,0.00453317085549699,0.026017611592064945,0.04542580296653262
1024,5,0.05,0,0.5207451581954956,0.08337076008319855,1.9938828945159912,0.0019471512641757727,0.1385003626346588,7.073028564453125,220.41781616210938,3.335205635923785,37.09948218511872,17.512202401499287,0.2818994545754609,0.009045924368697864,0.05374422436860249,0.113856775338851,0.019581479329903912,0.0006283537558179816,0.0037332155188466174,0.007908791793247048,0.00027529243610884853,8.833910516306508e-06,5.248459410996337e-05,0.00011118825716684668,0.41688408711769664,0.026613518266273634,0.11071472079760546,0.2018492003015093,0.2818994545754609,0.009045924368697864,0.05374422436860249,0.113856775338851,0.19062205765485785,0.003074706127370635,0.026089047889692702,0.06422302031020063
1024,5,0.05,1,0.45180243253707886,0.11341948807239532,1.9945201873779297,0.0019477736204862595,0.13888804614543915,13.09039306640625,178.1796875,3.5431809684092253,44.48155936244538,26.774921058329173,0.1523651869932346,0.011193869600753059,0.04483925959353509,0.07449210337662124,0.010609921752606971,0.0007794830493539795,0.0031223735888786914,0.0051872439079417455,0.00014879412792308066,1.0931513281985409e-05,4.378833944681161e-05,7.274619470373168e-05,0.2548450992972965,0.03156108188532271,0.09578432287437047,0.14376589657340225,0.1523651869932346,0.011193869600753059,0.04483925959353509,0.07449210337662124,0.09109514081885904,0.003970165442805518,0.02099048299932603,0.03859798184223786
