N,k,noise,n_seeds,phi_mean,phi_se,chi_mean,chi_se,work_mean,work_se,sdot_proxy_mean,sdot_proxy_se,align_cost_mean,turn_cost_mean,J_mean,J_se,mean_nn_distance
1024,2,0.00330346724003798,5,0.16077404618263244,0.01049633462612634,4.0642845153808596,0.7141071140230684,2.48439998626709,0.0029222906646286964,2.48439998626709,0.0029222906646286964,0.02404864989221096,0.03080221749842167,0.6783780872821807,0.10169640858544042,0.20184984803199768
1024,2,0.0037928878751459175,5,0.16790634095668794,0.010229058267376048,3.6293567657470702,0.27171885508897836,2.465447473526001,0.004587877112897629,2.465447473526001,0.004587877112897629,0.027275414019823075,0.035032840073108674,0.6964109897613525,0.057303643014689425,0.21177385449409486
1024,2,0.004354817949780402,5,0.15941275358200074,0.0070822016445758855,3.6344955444335936,0.2407729621646445,2.4405539512634276,0.00554568693978072,2.4405539512634276,0.00554568693978072,0.030904152244329453,0.039804761111736295,0.6827592015266418,0.04290417485420528,0.21668900549411774
1024,2,0.005,5,0.15139056742191315,0.005436342245237605,4.404447174072265,0.423864769073114,2.4165244579315184,0.003775279190175042,2.4165244579315184,0.003775279190175042,0.03504342138767243,0.045246342569589613,0.569862163066864,0.05585407419228653,0.22292037904262543
1024,2,0.005740768107484414,5,0.1453259140253067,0.00442983687401313,3.9000457763671874,0.3205516168846411,2.3987807273864745,0.0016717092425462157,2.3987807273864745,0.0016717092425462157,0.039888250082731246,0.05158479213714599,0.6308599352836609,0.048875133024957496,0.2289642035961151
1024,2,0.006591283692782036,5,0.14204124808311464,0.0037958269462560882,3.4593807220458985,0.37983708745577716,2.3802631378173826,0.0023911569358704967,2.3802631378173826,0.0023911569358704967,0.04519974514842033,0.05860994830727577,0.7199670314788819,0.07411464991867221,0.23583185374736787
1024,2,0.006597539553864474,5,0.14895808696746826,0.006198976216250574,3.6986972808837892,0.3498868420151679,2.3863921642303465,0.0026669692308307,2.3863921642303465,0.0026669692308307,0.04537562429904938,0.05880918726325035,0.6653975248336792,0.054005888049762474,0.23807738721370697
1024,2,0.0075678062421810416,5,0.1471718430519104,0.006661164894414749,3.6900766372680662,0.09195267583364897,2.3684973239898683,0.0017982811905440284,2.3684973239898683,0.0017982811905440284,0.05169728472828865,0.06705881357192993,0.6434316158294677,0.015813118182993878,0.2434685856103897
1024,2,0.00870550563296124,5,0.13950295150279998,0.004997812781218581,3.335978698730469,0.14479656931706525,2.3636546611785887,0.0015534036476078216,2.3636546611785887,0.0015534036476078216,0.05917708650231361,0.07679949551820756,0.7135031938552856,0.02869314202048342,0.25136587023735046
1024,2,0.011486983549970353,5,0.12599329948425292,0.001315715204155515,2.792342948913574,0.14063732491799752,2.358293294906616,0.00046913741401388893,2.358293294906616,0.00046913741401388893,0.0776978686451912,0.10078523606061936,0.8529773592948914,0.041829292244308584,0.26766204833984375
1024,2,0.015157165665103984,5,0.11660353541374206,0.0012672980946850576,2.406192970275879,0.11706886321484038,2.3665671348571777,0.0004990255209462649,2.3665671348571777,0.0004990255209462649,0.10287363529205322,0.13302417397499083,0.9930091977119446,0.048842397668276576,0.2857510447502136
1024,2,0.02,5,0.11077736616134644,0.0024751495183650196,2.1727062225341798,0.11238203344480717,2.3930580615997314,0.0018081506957170915,2.3930580615997314,0.0018081506957170915,0.13737577497959136,0.17652341425418855,1.1131245851516725,0.056817413202499244,0.30590716004371643
1024,2,0.035,5,0.09378205835819245,0.0005969210590104866,1.5148204803466796,0.06928248701121967,2.5369677543640137,0.001150059307318645,2.5369677543640137,0.001150059307318645,0.25790035128593447,0.3216527342796326,1.6889578819274902,0.0777139164856914,0.3544898867607117
1024,2,0.05,5,0.07811018377542496,0.00022231015798912843,1.122064971923828,0.02204800193793072,2.685865640640259,0.0004666123141075199,2.685865640640259,0.0004666123141075199,0.3956084191799164,0.47520212531089784,2.397323179244995,0.046362872518961276,0.3965571105480194
1024,2,0.0738,5,0.062393441796302795,0.0005526526752118069,0.6830240726470947,0.010104334984297286,2.7394150257110597,0.0005727841779783636,2.7394150257110597,0.0005727841779783636,0.5898851752281189,0.6735844850540161,4.014252662658691,0.05979922036738401,0.44723463654518125
1024,2,0.1,5,0.05183427780866623,0.00017665047630372447,0.48914222717285155,0.007825469315426823,2.592851257324219,0.0005378783731677339,2.592851257324219,0.0005378783731677339,0.7224610924720765,0.7977465867996216,5.30607385635376,0.08223400376484034,0.48281621336936953
1024,2,0.15,5,0.042683498561382295,0.00012597341056989875,0.33288323879241943,0.003932412992871976,2.208321523666382,0.000188602258365197,2.208321523666382,0.000188602258365197,0.8384405612945557,0.89769948720932,6.637681198120117,0.07955885551307681,0.5140099883079529
1024,3,0.00330346724003798,5,0.5528271079063416,0.014625799910250406,6.41121826171875,1.4891183093160916,2.2313641548156737,0.008152939895506268,2.2313641548156737,0.008152939895506268,0.013025366142392159,0.019735876470804214,0.46877500116825105,0.13749540105630495,0.2134004384279251
1024,3,0.0037928878751459175,5,0.5049806475639343,0.02746654303825677,8.005450439453124,1.2021287598595347,2.246318531036377,0.010544717777824581,2.246318531036377,0.010544717777824581,0.015069596283137799,0.022794926539063454,0.30604566633701324,0.0432840181368162,0.2166738212108612
1024,3,0.004354817949780402,5,0.4639290928840637,0.007586067040215496,7.581631469726562,0.9767511331933029,2.255103874206543,0.004137129667361263,2.255103874206543,0.004137129667361263,0.01737140417098999,0.02625986039638519,0.32100882232189176,0.04636004262774868,0.2193771094083786
1024,3,0.005,5,0.42667685747146605,0.02809910080249592,15.6828369140625,3.060274099196225,2.2593862533569338,0.008482156651671652,2.2593862533569338,0.008482156651671652,0.020039763301610947,0.030272267386317255,0.1675914317369461,0.031031105310742987,0.2290978580713272
1024,3,0.005740768107484414,5,0.41553345918655393,0.015093967255292749,11.472662353515625,1.6538214633518058,2.2572251319885255,0.006340009031700363,2.2572251319885255,0.006340009031700363,0.022970792651176453,0.034738097339868546,0.21218745410442352,0.027647967382020328,0.23386937379837036
1024,3,0.006591283692782036,5,0.4022481977939606,0.01854008988145666,8.281564331054687,1.012504944082834,2.2575018882751463,0.00586763817915564,2.2575018882751463,0.00586763817915564,0.026380329951643945,0.03991880342364311,0.29260394871234896,0.041720664841909325,0.2400437980890274
1024,3,0.006597539553864474,5,0.40006721019744873,0.02321024160000997,9.875584411621094,0.9287666248436557,2.260034704208374,0.006968908951795147,2.260034704208374,0.006968908951795147,0.026431940495967865,0.03998984098434448,0.2369034171104431,0.021676981661431498,0.2415143609046936
1024,3,0.0075678062421810416,5,0.3603609025478363,0.03326773375920511,10.406729125976563,1.831866292810528,2.2656351566314696,0.008485864174092474,2.2656351566314696,0.008485864174092474,0.03045397438108921,0.04604656398296356,0.2722717225551605,0.08077701323084159,0.24703449308872222
1024,3,0.00870550563296124,5,0.32566456198692323,0.012965259509185745,10.054597473144531,0.9415210806082227,2.274109888076782,0.002838327171748997,2.274109888076782,0.002838327171748997,0.03523974418640137,0.053219296783208844,0.23339357376098632,0.019552746277203183,0.2538699388504028
1024,3,0.011486983549970353,5,0.27867260575294495,0.005744942803526601,11.173104858398437,1.1838356243763042,2.2866172790527344,0.0016142225636730132,2.2866172790527344,0.0016142225636730132,0.04696693867444992,0.07080502659082413,0.2140735477209091,0.022747952370631312,0.2688323438167572
