N,k,noise,seed,phi_mean,phi_var,chi,sdot_proxy_mean,work_mean,align_cost_mean,turn_cost_mean,mean_nn_distance,J
256,7,0.005,0,0.9734041094779968,8.362531661987305e-05,0.0214080810546875,2.038696765899658,2.038696765899658,0.012727299705147743,0.02284436859190464,0.4231516122817993,95.23023986816406
256,7,0.005,1,0.9772102236747742,5.942583084106445e-05,0.0152130126953125,2.035766839981079,2.035766839981079,0.012706050649285316,0.022784845903515816,0.45108291506767273,133.81747436523438
256,7,0.02,0,0.9110260605812073,0.0012198090553283691,0.3122711181640625,2.1643385887145996,2.1643385887145996,0.054969120770692825,0.09667590260505676,0.4663013517856598,6.930960178375244
256,7,0.02,1,0.9188838601112366,0.0006018280982971191,0.1540679931640625,2.159071922302246,2.159071922302246,0.0548483282327652,0.09634014964103699,0.48631551861763,14.01375961303711
256,7,0.05,0,0.7718549966812134,0.001993834972381592,0.5104217529296875,2.5398993492126465,2.5398993492126465,0.16880998015403748,0.2813432514667511,0.4847773313522339,4.976079940795898
256,7,0.05,1,0.7531569600105286,0.004784703254699707,1.224884033203125,2.551506996154785,2.551506996154785,0.16958485543727875,0.28216084837913513,0.48262879252433777,2.0830600261688232
256,7,0.0738,0,0.574079155921936,0.007399380207061768,1.8942413330078125,2.9847028255462646,2.9847028255462646,0.31967467069625854,0.4888290464878082,0.49588462710380554,1.575671911239624
256,7,0.0738,1,0.5668897032737732,0.007434725761413574,1.903289794921875,2.9768433570861816,2.9768433570861816,0.3183160126209259,0.4871278405189514,0.4898050129413605,1.5640517473220825
256,7,0.07585775750291839,0,0.5355032682418823,0.010677963495254517,2.7335586547851562,3.040799140930176,3.040799140930176,0.33959925174713135,0.5125508308410645,0.4920005202293396,1.1123958826065063
256,7,0.07585775750291839,1,0.5423266291618347,0.010736048221588135,2.7484283447265625,3.029703140258789,3.029703140258789,0.3376843333244324,0.5098395347595215,0.4965166449546814,1.1023402214050293
256,7,0.08128305161640995,0,0.4778461456298828,0.011815816164016724,3.0248489379882812,3.1381096839904785,3.1381096839904785,0.38784605264663696,0.5674909353256226,0.49753278493881226,1.0374433994293213
256,7,0.08128305161640995,1,0.5141907930374146,0.007893890142440796,2.0208358764648438,3.1004879474639893,3.1004879474639893,0.38026854395866394,0.5599018931388855,0.5062727928161621,1.5342601537704468
256,7,0.08317637711026712,0,0.44687536358833313,0.010601237416267395,2.713916778564453,3.173741579055786,3.173741579055786,0.40626290440559387,0.5874804258346558,0.4956384599208832,1.1694321632385254
256,7,0.08317637711026712,1,0.4706282615661621,0.01020541787147522,2.6125869750976562,3.153144598007202,3.153144598007202,0.40224388241767883,0.5831689238548279,0.5013081431388855,1.2069051265716553
256,7,0.0870963589956081,0,0.4327380359172821,0.009822934865951538,2.5146713256835938,3.215519905090332,3.215519905090332,0.44128677248954773,0.6243925094604492,0.5053350329399109,1.2787039279937744
256,7,0.0870963589956081,1,0.43322697281837463,0.011287465691566467,2.8895912170410156,3.20794939994812,3.20794939994812,0.4393802583217621,0.6219682693481445,0.5042577385902405,1.1101741790771484
