model,match_method,N,k,k_label,R,matched_R,seed,D,phi_mean,phi_std,chi,sdot,J,mean_degree,mean_kth_dist
topological,count,2048,4,k=4,,0.5649,0,0.005,0.8521612286567688,0.021935908123850822,0.9854649305343628,2.076324939727783,2.1069495677948,4.0,0.5767748355865479
metric,count,2048,4,k=4,0.5649,0.5649,0,0.005,0.8121433854103088,0.06377827376127243,8.330584526062012,2.046842575073242,0.24570216238498688,11.183290481567383,
topological,count,2048,4,k=4,,0.5649,1,0.005,0.8060821294784546,0.04314631596207619,3.812566041946411,2.0940871238708496,0.5492592453956604,4.0,0.5171344876289368
metric,count,2048,4,k=4,0.5649,0.5649,1,0.005,0.8909611105918884,0.01502414420247078,0.4622846245765686,2.0342493057250977,4.400426387786865,8.520097732543945,
topological,count,2048,4,k=4,,0.5649,2,0.005,0.7866581082344055,0.018311111256480217,0.6866877675056458,2.0996792316436768,3.0576913356781006,4.0,0.49419865012168884
metric,count,2048,4,k=4,0.5649,0.5649,2,0.005,0.9026976823806763,0.005368498619645834,0.059024956077337265,2.038215398788452,34.53141784667969,7.327392578125,
topological,count,2048,4,k=4,,0.5649,3,0.005,0.8069534301757812,0.03249085322022438,2.161982536315918,2.08115553855896,0.9626144170761108,4.0,0.5261847376823425
metric,count,2048,4,k=4,0.5649,0.5649,3,0.005,0.8348192572593689,0.06258958578109741,8.022950172424316,2.0420167446136475,0.2545219361782074,8.6345796585083,
topological,count,2048,4,k=4,,0.5649,4,0.005,0.7450801134109497,0.03137011453509331,2.015404224395752,2.1235995292663574,1.0536842346191406,4.0,0.477801114320755
metric,count,2048,4,k=4,0.5649,0.5649,4,0.005,0.9088172912597656,0.015049793757498264,0.46386441588401794,2.0363807678222656,4.3900346755981445,7.262167930603027,
topological,count,2048,4,k=4,,0.5649,5,0.005,0.8491465449333191,0.019254492595791817,0.7592662572860718,2.067504644393921,2.723029851913452,4.0,0.5709725618362427
metric,count,2048,4,k=4,0.5649,0.5649,5,0.005,0.8946275115013123,0.011158150620758533,0.25498485565185547,2.03010630607605,7.961674213409424,5.83165979385376,
topological,count,2048,4,k=4,,0.5649,6,0.005,0.8091636300086975,0.035270754247903824,2.5477654933929443,2.1029257774353027,0.8254001140594482,4.0,0.5140889883041382
metric,count,2048,4,k=4,0.5649,0.5649,6,0.005,0.9034677743911743,0.018147530034184456,0.6744736433029175,2.035088062286377,3.0172982215881348,6.879580020904541,
topological,count,2048,4,k=4,,0.5649,7,0.005,0.8544145226478577,0.03525204956531525,2.5450639724731445,2.0733067989349365,0.8146383762359619,4.0,0.5905296802520752
metric,count,2048,4,k=4,0.5649,0.5649,7,0.005,0.8902221322059631,0.011810245923697948,0.28565895557403564,2.0391952991485596,7.138566017150879,7.686044692993164,
topological,count,2048,4,k=4,,0.5649,0,0.00625,0.7970654964447021,0.039737552404403687,3.2339417934417725,2.103066921234131,0.6503106951713562,4.0,0.5669288039207458
metric,count,2048,4,k=4,0.5649,0.5649,0,0.00625,0.8777693510055542,0.006309190299361944,0.08152244985103607,2.0438191890716553,25.070629119873047,7.113242149353027,
topological,count,2048,4,k=4,,0.5649,1,0.00625,0.7608248591423035,0.03628764674067497,2.6967928409576416,2.1381032466888428,0.7928318381309509,4.0,0.5146484971046448
metric,count,2048,4,k=4,0.5649,0.5649,1,0.00625,0.8727329969406128,0.007807848043739796,0.12485118955373764,2.044924020767212,16.378890991210938,6.355839729309082,
topological,count,2048,4,k=4,,0.5649,2,0.00625,0.7907315492630005,0.05264246091246605,5.675476551055908,2.113940954208374,0.37246933579444885,4.0,0.5529713034629822
metric,count,2048,4,k=4,0.5649,0.5649,2,0.00625,0.8825498819351196,0.01131161954253912,0.2620472311973572,2.0431764125823975,7.796977996826172,6.502910137176514,
topological,count,2048,4,k=4,,0.5649,3,0.00625,0.8026712536811829,0.035282034426927567,2.5493953227996826,2.0891895294189453,0.8194843530654907,4.0,0.5355256795883179
metric,count,2048,4,k=4,0.5649,0.5649,3,0.00625,0.8802674412727356,0.008890258148312569,0.161867156624794,2.0510342121124268,12.671095848083496,7.059326171875,
topological,count,2048,4,k=4,,0.5649,4,0.00625,0.6715592741966248,0.04387027397751808,3.941582679748535,2.1552493572235107,0.5467979907989502,4.0,0.4873538911342621
