N,k,response_key,Dc_mean,Dc_ci_lo,Dc_ci_hi,Dopt_mean,Dopt_ci_lo,Dopt_ci_hi,Delta_mean,Delta_ci_lo,Delta_ci_hi,Valley_mean,Valley_ci_lo,Valley_ci_hi
1024,5,conn,0.005,0.005,0.005,0.04340000000000001,0.02,0.05,0.038400000000000004,0.015,0.045000000000000005,0.009935624679868856,0.008779573379829172,0.010471148268334677
1024,7,conn,0.0332484,0.005,0.05415,0.065562,0.05,0.08035,0.0323136,0.0238,0.045000000000000005,0.005676698494974059,0.005025908415860317,0.006220940831615888
1024,9,conn,0.0519572,0.02,0.0607,0.08299595,0.0607,0.09345,0.031038750000000004,0.0238,0.0407,0.0047047467638629565,0.0039343504258096094,0.00520708359758079
1024,12,conn,0.055383499999999995,0.005,0.0869,0.10862505,0.05,0.1762,0.053241550000000006,0.03275000000000001,0.08929999999999999,0.0047792795300287474,0.004110926613003437,0.00518326438393756
