N,k,match_method,matched_R,preview_Dopt_topological,preview_Dopt_metric,length_match_reference_D,topological_J_min,metric_J_min,J_min_gap_metric_minus_topological,topological_D_opt,metric_D_opt,topological_D_c,metric_D_c,topological_Delta,metric_Delta,Delta_gap_metric_minus_topological,topological_sharpness,metric_sharpness,sharpness_gap_topological_minus_metric,topological_realized_degree,metric_realized_degree,metric_degree_gap,fairness_flag,J_min_winner,Delta_winner,sharpness_winner
1024,3,count,0.5445095274032776,0.04,0.01,0.04,0.3061799452945486,0.40964708777551095,0.10346714248096234,0.013384619455889374,0.02357617438855725,0.013154042696497639,0.02411087929396966,0.00023057675939173496,0.0005347049054124087,0.0003041281460206737,0.8079968913856992,0.856982573257175,-0.048985681871475784,3.0,3.1050634075488364,0.10506340754883636,True,topological,topological,metric
1024,4,count,0.620416470460007,0.05,0.005,0.05,0.3261897199858197,0.3942942125689015,0.06810449258308182,0.03679474971133237,0.0418134952105142,0.027363065865282553,0.041834601347225414,0.009431683846049817,2.1106136711211698e-05,-0.009410577709338605,0.29192494359701554,0.1856475619155884,0.10627738168142714,4.0,3.959641363057825,-0.0403586369421749,True,topological,metric,topological
1024,5,count,0.8024114967626073,0.07,0.01,0.07,0.16881152025050383,0.4581773769262725,0.28936585667576864,0.04757124502248606,0.06626335877232604,0.04767925199513429,0.0645012325816442,0.00010800697264823356,0.001762126190681848,0.0016541192180336145,1.6462564677614677,0.07075692642900809,1.5754995413324597,5.0,5.69973374158144,0.69973374158144,False,topological,topological,topological
1024,7,count,1.0167454784646184,0.09,0.09,0.09,0.37417879855627234,0.6664753565490145,0.2922965579927421,0.077540005669641,0.08928717905829338,0.0770152601483354,0.08977655609082537,0.0005247455213056029,0.0004893770325319902,-3.536848877361276e-05,0.3856939155888993,0.02714466350386068,0.35854925208503863,7.0,7.337056540525877,0.33705654052587697,True,topological,metric,topological
1024,10,count,1.2163215467980262,0.1,0.1,0.1,0.5088159776799444,0.7629126705825797,0.25409669290263537,0.10085113734097408,0.10432772820870496,0.10028035110897553,0.10467228833974014,0.000570786231998549,0.00034456013103517646,-0.0002262261009633726,0.1505369701385859,0.04770536306719129,0.10283160707139463,10.0,10.044455336199867,0.04445533619986719,True,topological,metric,topological
2048,3,count,0.5063,0.005,0.01,0.005,0.18601451887674614,0.2622313713169433,0.07621685244019716,0.014051189522442626,0.023899299248582966,0.015934796666763604,0.023889888984597523,0.0018836071443209777,9.410263985442507e-06,-0.0018741968803355352,0.8840003524788191,1.3428270078487412,-0.45882665536992207,3.0,3.333195455735776,0.33319545573577614,True,topological,metric,metric
2048,4,count,0.5649,0.005,0.01,0.005,0.18282343163360792,0.4216240234011277,0.23880059176751978,0.02356313190767081,0.02719515346678863,0.023877639432827818,0.027510740698343576,0.00031450752515700675,0.00031558723155494794,1.0797063979411936e-06,0.736395861428217,0.2132854088397492,0.5231104525884678,4.0,4.110825271868125,0.11082527186812463,True,topological,topological,topological
2048,5,count,0.6714,0.0225,0.0125,0.0225,0.24156822183248394,0.34916318048239603,0.10759495864991209,0.02991933540252278,0.05118451272526062,0.030228365438606523,0.024685970150288183,0.00030903003608374197,0.026498542574972434,0.026189512538888692,0.5768644345001608,0.3002700710300936,0.27659436347006716,5.0,5.150992836214995,0.1509928362149946,True,topological,topological,topological
